Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,year_count,miles driven
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,1.28,12.5,1,0,0,0,1,9,25476.211
Honda Jazz V,Chennai,2011,46000,First,18.161150290996236,1199.0,88.7,5.0,1.28,4.5,0,0,1,0,1,13,28583.066
Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,1.28,6.0,1,0,0,0,1,12,54059.277
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,1.28,17.74,1,0,0,1,0,11,25271.15857
Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,1.28,3.5,1,0,0,0,1,11,54058.655629
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,1.28,17.5,1,0,0,1,0,8,22369.356
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,1.28,5.2,1,0,0,0,1,11,40034.93353
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,1.28,1.95,1,0,0,0,1,12,40968.232772
Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,1.28,9.95,0,0,1,0,1,6,15964.263732
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,1.28,4.49,0,0,1,1,0,12,37282.26
Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,1.28,5.6,1,0,0,0,1,9,40031.205304
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,1.28,27.0,1,0,0,1,0,10,44738.712
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179.0,115.0,5.0,1.28,17.5,1,0,0,1,0,12,52816.535
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,1.28,15.0,1,0,0,0,1,10,68350.81
Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,1.28,5.4,1,0,0,0,1,8,36629.82045
Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,74.0,5.0,1.28,5.99,1,0,0,0,1,7,15534.275
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,1.28,6.34,1,0,0,0,1,10,48136.989999
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,1.28,28.0,1,0,0,1,0,10,48777.6235
BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,1.28,18.55,1,0,0,1,0,10,20494.058322
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,1.28,8.25,1,0,0,0,1,9,34418.982432
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,1.28,23.5,0,0,1,1,0,9,34787.455435
Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,80.0,5.0,1.28,1.87,0,0,1,0,1,14,28463.141397
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,1.28,2.85,0,0,1,1,0,14,20505.243
Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,1.28,4.25,0,0,1,0,1,12,32261.58232
Nissan Micra Diesel XV,Hyderabad,2012,54000,First,18.161150290996236,1461.0,63.1,5.0,1.28,4.25,1,0,0,0,1,12,33554.034
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,1.28,2.75,0,0,1,0,1,11,33554.034
Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,1.28,9.9,0,0,1,0,1,6,23257.91653
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,1.28,4.0,1,0,0,0,1,17,162799.202
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,1.28,7.75,1,0,0,0,1,11,38525.002
Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,1.28,6.75,0,0,1,0,1,12,54441.420165
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,184.0,7.0,1.28,12.5,1,0,0,1,0,11,44738.712
Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,1.28,11.5,1,0,0,1,0,14,21747.985
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,1.28,6.98,0,0,1,0,1,10,34443.215901
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,64.0,5.0,1.28,1.85,0,0,1,0,1,15,52080.831736
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,1.28,8.63,1,0,0,0,1,6,31115.152825
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,82.0,5.0,1.28,4.85,0,0,1,0,1,7,32311.292
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,1.28,28.0,1,0,0,1,0,11,52816.535
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,1.28,5.0,1,0,0,0,1,11,38525.002
